novelty_weight,density,activity,mean_s,tau_pl,tau_tpl,R_tpl_vs_lognormal,p_tpl_vs_lognormal,created,n_events
0.0,2.4375,0.05485,269.7620783956244,1.3125022690920407,0.9183022481939891,22.47427769094802,7.409912481873471e-112,0,2194
0.1,2.4895833333333335,0.052725,282.8634423897582,1.302809676843284,0.8840465001389529,22.84747282904374,1.5484274968352749e-115,0,2109
0.2,2.4895833333333335,0.053275,280.839511966213,1.3042670556303473,0.8895011336503994,22.645875710252717,1.5319823330031975e-113,0,2131
0.3,2.4270833333333335,0.05525,265.05882352941177,1.316367882403088,0.9341805827479623,22.125369394337202,1.801565388700058e-108,0,2210
0.4,2.4496527777777777,0.0532,281.3533834586466,1.3085175176537354,0.9135109914349494,22.177371910428832,5.680140140234808e-109,0,2128
0.5,2.3211805555555554,0.030725,705.0911310008137,1.2247593185055348,0.4967183566142922,25.510966463755526,1.4896376180148078e-143,0,1229
0.6,2.2239583333333335,0.03205,670.8658346333854,1.2274345383298333,0.5167129528578309,26.68199997448108,7.614984972668504e-157,0,1282
0.7,2.3159722222222223,0.031275,686.8721023181455,1.2249491576479303,0.477820145733573,23.953358453794717,8.52481190245276e-127,0,1251
0.8,2.3663194444444446,0.03205,665.2948517940717,1.2320122352599743,0.570146190422938,26.89360972027333,2.60869466734323e-159,0,1282
0.9,2.34375,0.03125,687.328,1.2272095062402462,0.5191560179169934,24.49453050982216,1.6893076964953393e-132,0,1250
1.0,2.1996527777777777,0.032525,663.0876249039201,1.2295932148702153,0.5481671363100362,25.714953358704694,7.953720820337041e-146,0,1301
