drive,density,activity,mean_s,tau_pl,tau_tpl,xmin,R_tpl_vs_lognormal,p_tpl_vs_lognormal,n_events
:uniform,2.0850694444444446,0.420925,56.33141295955336,1.4476639916094076,0.8736347642025787,4.0,23.936873162971143,1.2659516658619137e-126,16837
:avoid_crowded,2.3368055555555554,0.055675,265.16973506960034,1.3167567637750417,0.9458104639565418,4.0,21.540197051250242,6.542792937459117e-103,2227
:matthew,2.0086805555555554,0.918125,33.74589516678012,1.505655615624347,0.7132705196354563,4.0,35.54939789947363,8.488573367256382e-277,36725
:frontier,2.078125,0.41645,57.003841997838876,1.4439425169518898,0.8648256442040525,4.0,22.76532431959451,1.0118240906585367e-114,16658
